'1118', 'Classic Slots', 'classicslots'
'1120', 'All', 'all'
'1122', 'popular', 'Popular'
'1126', 'Bingo', 'bingo'
'1202', 'New', 'new'
'1204', 'Live Casino', 'live'
'1205', 'Live Casino', 'live'
'1206', 'Live Casino', 'live'
'1208', 'Bingo', 'mobilebingo'
'1209', 'Slot Games', 'slots'
'1210', 'Table Games', 'classic'
'1211', 'Poker Games', 'poker'
'1212', 'Fun Games', 'fun'
'1213', 'New Games', 'new'
'1214', 'Scratch Cards', 'scratch'
'1215', 'Virtual Games', 'virtual'
'1216', 'Slot Games', 'mobile'
'1217', 'Top Games', 'top'
'1218', 'Table Games', 'mobiletable'
'1219', 'Top Games', 'mobilepopular'
'1220', 'Jackpot Slot Games', 'jackpots'
'1222', 'Roulette Games', 'roulette'
'1223', 'Blackjack Games', 'blackjack'
'1224', 'Live Casino', 'live'
'1240', 'Casino Games', 'casino'
'1242', 'casino', 'casino'
'1243', 'Bingo', 'bingo'
'1244', 'Fun & Scratch', 'mobilefun'
'1249', 'Fun & Scratch', 'mobilefun'
'1250', 'Fun & Scratch', 'mobilefun'
'1251', 'Fun & Scratch', 'mobilefun'
'1252', 'Fun and Scratch', 'mobilefun'
'1253', 'Fun & Scratch', 'mobilefun'
'1256', 'Fun & Scratch', 'mobilefun'
'1257', 'Fun & Scratch', 'mobilefun'
'1259', 'Fun & Scratch', 'mobilefun'
'1260', 'Fun & Scratch', 'mobilefun'
'1262', 'Fun & Scratch', 'mobilefun'
'1263', 'All', 'all'
'1264', 'New Games', 'mobilenew'
'1265', 'Bingo', 'mobilebingo'
'1270', 'Bingo', 'mobilebingo'
'1271', 'Bingo', 'mobilebingo'
'1272', 'Bingo', 'mobilebingo'
'1273', 'Bingo', 'mobilebingo'
'1277', 'Bingo', 'mobilebingo'
'1285', 'New Games', 'mobilenew'
'1290', 'New Games', 'mobilenew'
'1291', 'New Games', 'mobilenew'
'1292', 'New Games', 'mobilenew'
'1293', 'New Games', 'mobilenew'
'1295', 'New Games', 'mobilenew'
'1297', 'New Games', 'mobilenew'
'1299', 'New Games', 'mobilenew'
'1310', 'New Games', 'mobilenew'
'1312', 'New Games', 'mobilenew'
'1314', 'New Games', 'mobilenew'
'1348', 'Slots', 'slots'
'1349', 'Table', 'classic'
'1350', 'Poker Games', 'poker'
'1351', 'Fun Games', 'fun'
'1352', 'Bingo', 'ball'
'1353', 'Scratch Cards', 'scratch'
'1354', 'Virtual Games', 'virtual'
'1355', 'Favourite', 'favourite'
'1357', 'Jackpot', 'Jackpots'
'1359', 'Slot Games', 'mobile-slots'
'1361', ' Bingo Games', 'mobilebingo'
'1362', 'Live casino', 'live'
'1363', 'New Games', 'new'
'1364', 'Blackjack', 'blackjack'
'1365', 'Roulette', 'roulette'
'1367', 'All', 'all'
'1379', 'Slot Games', 'slots'
'1380', 'Table Games', 'classic'
'1381', 'Poker Games', 'poker'
'1382', 'Fun Games', 'fun'
'1383', 'New Games', 'new'
'1384', 'Scratch Cards', 'scratch'
'1385', 'Virtual Games', 'virtual'
'1386', 'Slot Games', 'mobile'
'1387', 'Top Games', 'top'
'1388', 'Table Games', 'mobiletable'
'1389', 'Top Games', 'mobilepopular'
'1390', 'Jackpot Slot Games', 'jackpots'
'1391', 'Roulette Games', 'roulette'
'1392', 'Blackjack Games', 'blackjack'
'1393', 'Live Casino', 'live'
'1394', 'Casino Games', 'casino'
'1395', 'Bingo', 'bingo'
'1396', 'Fun & Scratch', 'mobilefun'
'1397', 'Bingo', 'mobilebingo'
'1398', 'New Games', 'mobilenew'
'1441', 'Classic Slots', 'classicslots'
'1442', 'Table Games', 'table'
'1474', 'Other Table Games', 'other-table'
'1476', 'test', 'test'
'1477', 'test-other', 'test-other'
'1478', 'Poker Table Games', 'poker-table'
'1479', 'Casino Games', 'casino-home'
'1481', 'Slots', 'slots'
'1482', 'Table', 'classic'
'1483', 'Poker Games', 'poker'
'1484', 'Fun Games', 'fun'
'1485', 'Bingo', 'ball'
'1486', 'Scratch Cards', 'scratch'
'1487', 'Virtual Games', 'virtual'
'1488', 'Favourite', 'favourite'
'1489', 'Top Games', 'top'
'1490', 'Jackpot', 'Jackpots'
'1491', 'Top Games', 'mobilepopular'
'1492', 'Slot Games', 'mobile-slots'
'1494', ' Bingo Games', 'mobilebingo'
'1495', 'Live casino', 'live'
'1496', 'New Games', 'new'
'1497', 'Blackjack', 'blackjack'
'1498', 'Roulette', 'roulette'
'1499', 'Fun & Scratch', 'mobilefun'
'1500', 'All', 'all'
'1501', 'New Games', 'mobilenew'
'1512', 'home', 'home'
'1516', 'Table games', 'mobiletable'
'1517', 'Table Games', 'mobiletable'
'1549', 'Top', 'top'
'1553', 'Blackjack', 'blackjack'
'1554', 'Roulette', 'roulette'
'1561', 'New Games', 'mobilenew'
'1563', 'Table Games', 'mobiletable'
'1566', 'Hidden', 'hidden'
'1567', 'Slots', 'slots'
'1568', 'Table', 'classic'
'1569', 'Poker Games', 'poker'
'1570', 'Fun Games', 'fun'
'1571', 'Bingo', 'ball'
'1572', 'Scratch Cards', 'scratch'
'1573', 'Virtual Games', 'virtual'
'1574', 'Favourite', 'favourite'
'1575', 'Top Games', 'top'
'1576', 'Jackpot', 'Jackpots'
'1577', 'Top Games', 'mobilepopular'
'1578', 'Slot Games', 'mobile-slots'
'1580', ' Bingo Games', 'mobilebingo'
'1581', 'Live casino', 'live'
'1582', 'New Games', 'new'
'1583', 'Blackjack', 'blackjack'
'1584', 'Roulette', 'roulette'
'1585', 'Fun & Scratch', 'mobilefun'
'1586', 'All', 'all'
'1587', 'New Games', 'mobilenew'
'1588', 'Table Games', 'mobiletable'
'1598', 'Fun Games', 'mobilefun'
'1599', 'Top Games', 'mobilepopular'
'1600', 'Bingo', 'mobilebingo'
'1603', 'Jackpot Games', 'mobilejackpots'
'1604', 'All Games', 'mobileall'
'1605', 'Featured', 'featured'
'1607', 'unpublished', 'unpublished'
'1609', 'unpublished', 'unpublished'
'1611', 'unpublished', 'unpublished'
'1612', 'unpublished', 'unpublished'
'1613', 'unpublished', 'unpublished'
'1615', 'unpublished', 'unpublished'
'1616', 'unpublished', 'unpublished'
'1618', 'unpublished', 'unpublished'
'1619', 'unpublished', 'unpublished'
'1620', 'unpublished', 'unpublished'
'1622', 'unpublished', 'unpublished'
'1624', 'unpublished', 'unpublished'
'1625', 'unpublished', 'unpublished'
'1627', 'unpublished', 'unpublished'
'1628', 'unpublished', 'unpublished'
'1639', 'New Games', 'norway-new'
'1640', 'Jackpot 6000', 'jackpot6000'
'1641', 'Fun', 'fun'
'1642', 'Virtual', 'virtual'
'1643', 'Bingo', 'ball'
'1644', 'unpublishedmobile', 'mobileunpublished'
'1645', 'mobileunpublished', 'mobileunpublished'
'1646', 'mobileunpublished', 'mobileunpublished'
'1647', 'mobileunpublished', 'mobileunpublished'
'1648', 'Baccarat', 'baccarat'
'1680', 'Table Games', 'mobiletable'
'1681', 'All Games', 'mobileall'
'1682', 'Fun & Scratch', 'mobilefun'
'1683', 'Jackpot Games', 'mobilejackpots'
'1684', 'New Games', 'mobilenew'
'1685', 'Top Games', 'mobilepopular'
'1686', 'All Games', 'mobileall'
'1687', 'Jackpot Games', 'mobilejackpots'
'1688', 'Poker', 'mobilepoker'
'1689', 'Poker', 'mobilepoker'
'1690', 'Poker', 'mobilepoker'
